accuracy,precision,recall,f1,auc,dataset,model_type,model,augmentation,fold
0.8809523809523809,0.8095238095238095,0.3541666666666667,0.4927536231884058,0.8261348238482384,IBM,CML,LogisticRegression,raw,1
0.8435374149659864,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.7832401761517616,IBM,CML,RandomForest,raw,1
0.8469387755102041,0.5882352941176471,0.20833333333333334,0.3076923076923077,0.7924288617886179,IBM,CML,XGBoost,raw,1
0.891156462585034,0.8076923076923077,0.4375,0.5675675675675675,0.8461212737127372,IBM,CML,LogisticRegression,raw,2
0.8537414965986394,0.6923076923076923,0.1875,0.29508196721311475,0.8057249322493225,IBM,CML,RandomForest,raw,2
0.8537414965986394,0.5862068965517241,0.3541666666666667,0.44155844155844154,0.8252879403794038,IBM,CML,XGBoost,raw,2
0.8809523809523809,0.75,0.3829787234042553,0.5070422535211268,0.8452924455164098,IBM,CML,LogisticRegression,raw,3
0.8503401360544217,0.8,0.0851063829787234,0.15384615384615385,0.8399948315961754,IBM,CML,RandomForest,raw,3
0.8707482993197279,0.7647058823529411,0.2765957446808511,0.40625,0.836678439142045,IBM,CML,XGBoost,raw,3
0.8945578231292517,0.8333333333333334,0.425531914893617,0.5633802816901409,0.8558876733568783,IBM,CML,LogisticRegression,raw,4
0.8673469387755102,1.0,0.1702127659574468,0.2909090909090909,0.8261693513653199,IBM,CML,RandomForest,raw,4
0.8809523809523809,0.8333333333333334,0.3191489361702128,0.46153846153846156,0.8359031785683521,IBM,CML,XGBoost,raw,4
0.8707482993197279,0.6666666666666666,0.3829787234042553,0.4864864864864865,0.7897321044017573,IBM,CML,LogisticRegression,raw,5
0.8537414965986394,0.6666666666666666,0.1702127659574468,0.2711864406779661,0.800801102592816,IBM,CML,RandomForest,raw,5
0.8741496598639455,0.7272727272727273,0.3404255319148936,0.463768115942029,0.8000689120509948,IBM,CML,XGBoost,raw,5
0.7653061224489796,0.38461538461538464,0.7291666666666666,0.5035971223021583,0.8188516260162602,IBM,CML,LogisticRegression,smote,1
0.8605442176870748,0.64,0.3333333333333333,0.4383561643835616,0.8032689701897019,IBM,CML,RandomForest,smote,1
0.8469387755102041,0.56,0.2916666666666667,0.3835616438356164,0.7977642276422765,IBM,CML,XGBoost,smote,1
0.7551020408163265,0.36666666666666664,0.6875,0.4782608695652174,0.8347730352303524,IBM,CML,LogisticRegression,smote,2
0.8571428571428571,0.625,0.3125,0.4166666666666667,0.8217310298102981,IBM,CML,RandomForest,smote,2
0.8605442176870748,0.5945945945945946,0.4583333333333333,0.5176470588235295,0.8221544715447154,IBM,CML,XGBoost,smote,2
0.7414965986394558,0.35051546391752575,0.723404255319149,0.4722222222222222,0.8350417779309156,IBM,CML,LogisticRegression,smote,3
0.8605442176870748,0.65,0.2765957446808511,0.3880597014925373,0.8381858902575587,IBM,CML,RandomForest,smote,3
0.8571428571428571,0.6,0.3191489361702128,0.4166666666666667,0.8317684555086571,IBM,CML,XGBoost,smote,3
0.7857142857142857,0.4069767441860465,0.7446808510638298,0.5263157894736842,0.8461538461538461,IBM,CML,LogisticRegression,smote,4
0.8877551020408163,1.0,0.2978723404255319,0.45901639344262296,0.824231199931088,IBM,CML,RandomForest,smote,4
0.8809523809523809,0.7727272727272727,0.3617021276595745,0.4927536231884058,0.83349125678353,IBM,CML,XGBoost,smote,4
0.7959183673469388,0.41975308641975306,0.723404255319149,0.53125,0.7946420880351451,IBM,CML,LogisticRegression,smote,5
0.8639455782312925,0.6666666666666666,0.2978723404255319,0.4117647058823529,0.8058402963218193,IBM,CML,RandomForest,smote,5
0.8775510204081632,0.6774193548387096,0.44680851063829785,0.5384615384615384,0.798604530967353,IBM,CML,XGBoost,smote,5
